Year,Avg Temp
2000,58.8
2001,59.1
2002,58.9
2003,59.4
2004,58.9
2005,58.6
2006,58.6
2007,58.9
2008,58.9
2009,58.8
2010,57.7
2011,57.4
2012,59.5
2013,59.3
2014,61.5
2015,60.8
2016,60.1
2017,60.3
2018,60.1
2019,58.4
2020,60.5
