Year,Avg_Temp,Beef_production
2000,58.8,26405
2001,59.1,25743
2002,58.9,26713
2003,59.4,25880
2004,58.9,24191
2005,58.6,24328.4
2006,58.6,25791.6
2007,58.9,26069.9
2008,58.9,26199.8
2009,58.8,25597.9
2010,57.7,25954.2
2011,57.4,25854.3
2012,59.5,25572.6
2013,59.3,25384.8
2014,61.5,23932.2
2015,60.8,23394.9
2016,60.1,24908
2017,60.3,25855.6
2018,60.1,26535.9
2019,58.4,26821.4
2020,60.5,26738.3
